field,blank_reports,explicit_not_reported,missing_reports,denominator
report_id,0,0,0,24
slide,0,0,0,24
domain,0,0,0,24
task,0,0,0,24
study,0,0,0,24
year,0,0,0,24
study_design,0,0,0,24
sample_or_setting,0,0,0,24
key_publicly_verified_result,0,0,0,24
loop_boundary,0,0,0,24
public_url,0,0,0,24
evidence_role,0,0,0,24
evidence_stage,0,0,0,24
loop_architecture,0,0,0,24
action_risk,0,0,0,24
execution_authority,0,0,0,24
main_table,0,0,0,24
rationale,0,0,0,24
display_label,0,0,0,24
population_or_material,0,0,0,24
participant_n,0,9,9,24
specimen_or_measurement_n,1,19,20,24
procedure_n,0,15,15,24
development_data,23,0,23,24
comparator,0,0,0,24
outcome_domains,0,0,0,24
translation_stage,0,0,0,24
outcome_categories,0,0,0,24
resolved_title,0,0,0,24
resolved_identifier,0,0,0,24
metadata_status,0,0,0,24
metadata_source_url,0,0,0,24
metadata_response_sha256,0,0,0,24
metadata_checked_at,0,0,0,24
sample_string_support,0,0,0,24
result_string_support,0,0,0,24
claim_audit_source_url,5,0,5,24
claim_audit_response_sha256,5,0,5,24
claim_status,0,0,0,24
